veri_seti,model,senaryo,fold,seed,accuracy,precision,recall,f1,n,pozitif,roc_auc,pr_auc
SKAB,gru,gurultu,2,123,0.9279341111873713,0.8827977315689981,0.9156862745098039,0.8989412897016362,1457,510,0.9603971261154938,0.9609373320591565
SKAB,gru,unseen,2,123,0.9533287577213452,0.9977477477477478,0.8686274509803922,0.9287211740041929,1457,510,0.9714185146075325,0.9716353362806914
SKAB,cnn1d,orijinal,2,123,0.9217570350034318,0.9626168224299065,0.807843137254902,0.8784648187633263,1457,510,0.9494606290245772,0.9507240477925274
SKAB,cnn1d,gurultu,2,123,0.8881262868908717,0.8683651804670913,0.8019607843137255,0.8338430173292558,1457,510,0.917442077147649,0.9112661891795116
SKAB,cnn1d,unseen,2,123,0.9210706932052162,0.966903073286052,0.8019607843137255,0.8767416934619507,1457,510,0.9497442905356441,0.9509286898546437
SKAB,lstm,orijinal,2,2026,0.8867536032944406,0.8053097345132744,0.8921568627450981,0.8465116279069768,1457,510,0.9619355239455867,0.9535488257150402
SKAB,lstm,gurultu,2,2026,0.8544955387783116,0.7403225806451613,0.9,0.8123893805309734,1457,510,0.9472410294635277,0.937481797351261
SKAB,lstm,unseen,2,2026,0.9251887439945092,0.9387308533916849,0.8411764705882353,0.8872802481902792,1457,510,0.9594819554009566,0.9506399475312378
SKAB,gru,orijinal,2,2026,0.9656829100892245,0.9852320675105485,0.9156862745098039,0.9491869918699187,1457,510,0.9772387518893514,0.9754003128299664
SKAB,gru,gurultu,2,2026,0.9155799588194921,0.8576709796672828,0.9098039215686274,0.8829686013320647,1457,510,0.9601983560055491,0.9590816940847972
SKAB,gru,unseen,2,2026,0.9540150995195608,0.9955257270693513,0.8725490196078431,0.9299895506792059,1457,510,0.9712590844151812,0.9713264197823795
SKAB,cnn1d,orijinal,2,2026,0.9251887439945092,0.9630484988452656,0.8176470588235294,0.8844114528101803,1457,510,0.9479512185021846,0.9487187322982165
SKAB,cnn1d,gurultu,2,2026,0.8956760466712422,0.8960176991150443,0.7941176470588235,0.841995841995842,1457,510,0.9304076857775846,0.9268686970836815
SKAB,cnn1d,unseen,2,2026,0.9025394646533974,1.0,0.7215686274509804,0.8382687927107062,1457,510,0.9456053171004409,0.9468989454831341
SKAB,lstm,orijinal,2,7,0.8901853122855182,0.8027681660899654,0.9098039215686274,0.8529411764705882,1457,510,0.9687599643870219,0.9614905187831198
SKAB,lstm,gurultu,2,7,0.8599862731640356,0.75,0.9,0.8181818181818182,1457,510,0.950290908337992,0.9431613775591337
SKAB,lstm,unseen,2,7,0.9238160603980783,0.9096509240246407,0.8686274509803922,0.8886659979939819,1457,510,0.967414125100938,0.9607643061193675
SKAB,gru,orijinal,2,7,0.9196980096087852,0.8477876106194691,0.9392156862745098,0.8911627906976745,1457,510,0.9778350622191855,0.9749835249862278
SKAB,gru,gurultu,2,7,0.8592999313658202,0.7335375191424196,0.9392156862745098,0.823731728288908,1457,510,0.9634428639460008,0.9601955834759361
SKAB,gru,unseen,2,7,0.9595058339052849,0.9630390143737166,0.9196078431372549,0.9408224674022067,1457,510,0.9760523427956187,0.9747765220857606
SKAB,cnn1d,orijinal,2,7,0.905971173644475,0.9408983451536643,0.7803921568627451,0.8531618435155413,1457,510,0.9486096444913763,0.9451633152697212
SKAB,cnn1d,gurultu,2,7,0.8977350720658888,0.88,0.8196078431372549,0.848730964467005,1457,510,0.9326811189100772,0.925282123268504
SKAB,cnn1d,unseen,2,7,0.9066575154426905,0.9770408163265306,0.7509803921568627,0.8492239467849224,1457,510,0.9480174752054992,0.9444296158590545
SKAB,lstm,orijinal,2,999,0.9094028826355525,0.8987341772151899,0.8352941176470589,0.8658536585365854,1457,510,0.9434147048470919,0.9360667861752063
SKAB,lstm,gurultu,2,999,0.8613589567604667,0.7841328413284133,0.8333333333333334,0.8079847908745247,1457,510,0.9265710085512557,0.9193865246276542
SKAB,lstm,unseen,2,999,0.8819492107069321,0.8755555555555555,0.7725490196078432,0.8208333333333333,1457,510,0.9230262749239083,0.9107400301250227
SKAB,gru,orijinal,2,999,0.9574468085106383,0.98068669527897,0.8960784313725491,0.9364754098360656,1457,510,0.9755015839493136,0.972051460966939
SKAB,gru,gurultu,2,999,0.9210706932052162,0.8864970645792564,0.888235294117647,0.8873653281096964,1457,510,0.9612998736981593,0.9585344094885118
SKAB,gru,unseen,2,999,0.9567604667124228,0.9933774834437086,0.8823529411764706,0.9345794392523364,1457,510,0.9701347909808062,0.9689823459122698
SKAB,cnn1d,orijinal,2,999,0.9272477693891558,0.963302752293578,0.8235294117647058,0.8879492600422833,1457,510,0.9547280369381121,0.9493318730257958
SKAB,cnn1d,gurultu,2,999,0.8908716540837337,0.8434442270058709,0.8450980392156863,0.8442703232125367,1457,510,0.9283143880572292,0.9246907133169717
SKAB,cnn1d,unseen,2,999,0.9279341111873713,0.9633867276887872,0.8254901960784313,0.8891235480464625,1457,510,0.9531523697124045,0.9474280230030382
SKAB,automata,orijinal,3,-1,0.3548979123652214,0.3548979123652214,1.0,0.5238740264138164,4359,1547,0.4104688926670351,0.3417861554171023
SKAB,automata,gurultu,3,-1,0.3548979123652214,0.3548979123652214,1.0,0.5238740264138164,4359,1547,0.4175235692263556,0.3316388191866102
SKAB,automata,unseen,3,-1,0.3548979123652214,0.3548979123652214,1.0,0.5238740264138164,4359,1547,0.4419460967448583,0.3513579032013546
SKAB,lstm,orijinal,3,42,0.9142053445850914,1.0,0.7631067961165049,0.8656387665198237,1422,515,0.9575191873347534,0.9571661208981896
SKAB,lstm,gurultu,3,42,0.9156118143459916,1.0,0.7669902912621359,0.8681318681318682,1422,515,0.9540146219800687,0.955153299568511
SKAB,lstm,unseen,3,42,0.8924050632911392,1.0,0.7029126213592233,0.8255416191562144,1422,515,0.9558129328523566,0.956388443727358
SKAB,gru,orijinal,3,42,0.930379746835443,1.0,0.8077669902912621,0.8936627282491945,1422,515,0.9514691557572709,0.9549585257938555
SKAB,gru,gurultu,3,42,0.9254571026722925,0.9975669099756691,0.7961165048543689,0.8855291576673866,1422,515,0.9489857740764925,0.9534286094857854
SKAB,gru,unseen,3,42,0.9050632911392406,1.0,0.7378640776699029,0.8491620111731844,1422,515,0.9524796351997946,0.9552511420615142
SKAB,cnn1d,orijinal,3,42,0.9360056258790436,0.9976525821596244,0.8252427184466019,0.9032943676939427,1422,515,0.9419980518298884,0.9462752608372199
SKAB,cnn1d,gurultu,3,42,0.9338959212376934,1.0,0.8174757281553398,0.8995726495726496,1422,515,0.9416019952687298,0.9458360401203039
SKAB,cnn1d,unseen,3,42,0.930379746835443,0.9976076555023924,0.8097087378640777,0.8938906752411575,1422,515,0.941394333179906,0.9451917911744587
SKAB,lstm,orijinal,3,123,0.9317862165963432,0.995260663507109,0.8155339805825242,0.8964781216648879,1422,515,0.9434902216846319,0.9517044702977573
SKAB,lstm,gurultu,3,123,0.9254571026722925,0.974477958236659,0.8155339805825242,0.8879492600422833,1422,515,0.9415249248027745,0.9477846721083921
SKAB,lstm,unseen,3,123,0.9022503516174403,1.0,0.7300970873786408,0.8439955106621774,1422,515,0.9417240235064922,0.949929079744311
SKAB,gru,orijinal,3,123,0.929676511954993,0.9952267303102625,0.8097087378640777,0.892933618843683,1422,515,0.9539118613587951,0.957217859810668
SKAB,gru,gurultu,3,123,0.9282700421940928,0.9747126436781609,0.8233009708737864,0.8926315789473684,1422,515,0.9493625630211623,0.952703347259195
SKAB,gru,unseen,3,123,0.8966244725738397,1.0,0.7145631067961165,0.8335220838052095,1422,515,0.9519850997099154,0.9555498379415783
SKAB,cnn1d,orijinal,3,123,0.9360056258790436,0.9976525821596244,0.8252427184466019,0.9032943676939427,1422,515,0.9414970938011796,0.9476477478894787
SKAB,cnn1d,gurultu,3,123,0.9444444444444444,0.9887892376681614,0.8563106796116505,0.9177939646201873,1422,515,0.945008081694694,0.9506108832350701
SKAB,cnn1d,unseen,3,123,0.9416315049226441,0.9976958525345622,0.8407766990291262,0.9125395152792413,1422,515,0.9420708406032904,0.9479771985737911
SKAB,lstm,orijinal,3,2026,0.9310829817158931,0.995249406175772,0.8135922330097087,0.8952991452991453,1422,515,0.9505614369360208,0.9545652761070385
SKAB,lstm,gurultu,3,2026,0.9282700421940928,1.0,0.8019417475728156,0.8900862068965517,1422,515,0.9466629558664541,0.9519122217336654
SKAB,lstm,unseen,3,2026,0.9036568213783404,1.0,0.7339805825242719,0.8465845464725644,1422,515,0.9520150715577869,0.9558902432303638
SKAB,gru,orijinal,3,2026,0.9381153305203939,0.9930715935334873,0.8349514563106796,0.9071729957805907,1422,515,0.9565279755087186,0.9580097057775401
SKAB,gru,gurultu,3,2026,0.9317862165963432,0.995260663507109,0.8155339805825242,0.8964781216648879,1422,515,0.9529955791524389,0.9556204305584297
SKAB,gru,unseen,3,2026,0.9163150492264416,1.0,0.7689320388349514,0.8693743139407245,1422,515,0.9571894970081671,0.9580102913571144
SKAB,cnn1d,orijinal,3,2026,0.919831223628692,0.9926289926289926,0.7844660194174757,0.8763557483731019,1422,515,0.9365495980561117,0.9424499897898785
SKAB,cnn1d,gurultu,3,2026,0.9184247538677919,0.9877750611246944,0.7844660194174757,0.8744588744588745,1422,515,0.9406086425964183,0.944404885129481
SKAB,cnn1d,unseen,3,2026,0.9163150492264416,0.9925373134328358,0.7747572815533981,0.8702290076335878,1422,515,0.9353528649875296,0.9408129449809765
SKAB,lstm,orijinal,3,7,0.9240506329113924,1.0,0.7902912621359224,0.8828633405639913,1422,515,0.9452542790164952,0.9509427814145526
